lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0088	865.0	451.0	2163.0	1761.0	469.0	3460.0	4318.0	3570.0	1482.0	5581.0	2539.0	2902.0	1844.0	3264.0	647.0	1260.0	1796.0	764.0	1450.0	1370.0	3900.0	1265.0	4349.0	4078.0	829.0	6470.0	7162.0	5891.0	3946.0	5037.0	299.0	498.0	361.0	2359.0	88243.0	1127888.0	1625399.111629
sub-0089	984.0	446.0	2288.0	1658.0	381.0	3290.0	4541.0	2852.0	842.0	5815.0	2469.0	3495.0	1954.0	3023.0	680.0	1371.0	1555.0	703.0	1343.0	1386.0	3910.0	958.0	4479.0	3527.0	689.0	5929.0	7398.0	5300.0	3874.0	4052.0	265.0	459.0	416.0	2151.0	84373.5	1117611.0	1172460.842737
sub-0090	1073.0	468.0	2129.0	1481.0	353.0	3070.0	4063.0	2980.0	1014.0	4948.0	2600.0	2662.0	1981.0	3044.0	606.0	1182.0	1601.0	780.0	1392.0	1378.0	4191.0	1053.0	4597.0	3865.0	623.0	6005.0	6938.0	5982.0	4043.0	4872.0	295.0	430.0	546.0	2116.0	84101.1	1069848.0	1417359.174652
sub-0091	1023.0	491.0	1742.0	1520.0	436.0	2748.0	4558.0	3715.0	898.0	5651.0	2303.0	2513.0	1782.0	3002.0	538.0	1287.0	1496.0	663.0	1115.0	1436.0	3320.0	1169.0	4072.0	3517.0	560.0	4836.0	6520.0	4918.0	3245.0	2699.0	268.0	507.0	436.0	1984.0	76887.7	1023227.0	1187784.738248
sub-0092	856.0	525.0	2220.0	1198.0	421.0	3071.0	4473.0	2809.0	1158.0	4861.0	2340.0	2688.0	1536.0	2856.0	620.0	1182.0	1549.0	613.0	1264.0	1381.0	3704.0	1176.0	4497.0	3576.0	793.0	5638.0	7459.0	5056.0	3678.0	3660.0	226.0	452.0	419.0	2135.0	80081.2	1049850.0	1067975.377756
sub-0093	979.0	648.0	2682.0	1308.0	625.0	3934.0	5556.0	3811.0	1323.0	6082.0	2901.0	2960.0	1960.0	3345.0	850.0	1403.0	1795.0	801.0	1705.0	1156.0	4603.0	1286.0	4914.0	3949.0	776.0	6114.0	8579.0	5589.0	4337.0	4360.0	286.0	517.0	589.0	2512.0	94227.2	1289088.0	1474786.699803
sub-0094	753.0	441.0	2061.0	1176.0	296.0	2093.0	4067.0	2059.0	808.0	3803.0	2341.0	2606.0	1514.0	2333.0	628.0	1152.0	1377.0	553.0	1053.0	1127.0	3482.0	967.0	3874.0	3062.0	578.0	4329.0	5569.0	4635.0	2973.0	3174.0	236.0	339.0	394.0	1979.0	67833.1	907740.0	936210.537003
sub-0095	935.0	503.0	2489.0	1372.0	375.0	3083.0	4319.0	3569.0	900.0	5108.0	2564.0	3275.0	1939.0	3039.0	569.0	1329.0	1854.0	696.0	1140.0	1324.0	4029.0	949.0	5094.0	3195.0	787.0	5769.0	7716.0	6040.0	3324.0	4464.0	275.0	553.0	426.0	2076.0	85071.0	1124391.0	1346371.926449
sub-0096	1135.0	673.0	2035.0	1472.0	481.0	3190.0	4571.0	3389.0	1007.0	5078.0	2663.0	2399.0	1815.0	3452.0	667.0	1497.0	1623.0	703.0	1421.0	1089.0	4045.0	1316.0	4634.0	3794.0	826.0	5796.0	7021.0	5766.0	4135.0	4242.0	262.0	462.0	428.0	2139.0	85222.5	1222803.0	1317955.655575
sub-0097	775.0	425.0	1847.0	1235.0	418.0	2771.0	3812.0	2590.0	893.0	4572.0	2049.0	2742.0	1298.0	2714.0	523.0	1107.0	1320.0	638.0	1453.0	1121.0	3334.0	892.0	4178.0	3138.0	458.0	4029.0	6354.0	4814.0	3607.0	3608.0	209.0	432.0	423.0	2068.0	71840.4	1005045.0	1006585.32031
